,Date,Piligrims,Tonsures,Hundi,Temperature,Condition,ttd online darshan tickets,Tirupati,Tirumala,VIP darshan,How to reach Tirupati,ttd sarva darshan tickets,ttd free darshan online booking availability,apsrtc tirumala darshan tickets,apsrtc ttd 300 tickets,ksrtc tirupati package,srinivasam complex,tirumala darshan tickets,tirumala darshan,tirupati balaji.ap.gov.in,tirupati darshan 500 rupees ticket,ttd free darshan online booking availability.1,Week_day,Review,Timestamp,Day,Speciality,Festivals,Tidi,Seva_Begins,Sevas,Public_Day,Normal
120,2022-5-1,72904,30702,4.7,102,862,6,57,31,15,22,0,0,0,0,0,0,15,13,8,0,0,1,1,1651343400.0,Sunday,Sravanam,0,1,0,0,0,0
121,2022-5-2,65756,34774,4.6,99,1324,0,54,25,22,21,29,13,0,0,0,0,36,14,7,0,13,0,1,1651429800.0,Monday,Vasantha Panchami,0,1,0,0,0,0
122,2022-5-3,61654,25920,4.3,97,972,7,53,27,7,0,20,6,0,0,0,20,16,16,10,23,6,0,0,1651516200.0,Tuesday,normal,0,0,0,0,0,1
123,2022-5-4,69603,30434,3.84,95,1324,4,49,25,13,0,0,0,0,36,0,0,6,12,0,0,0,0,0,1651602600.0,Wednesday,Krittika,0,1,0,0,0,0
124,2022-5-5,59528,29995,3.91,84,1324,0,50,23,14,40,0,9,12,0,0,0,0,8,5,0,9,0,-1,1651689000.0,Thursday,Sri Ramanuja Jayanthi,0,0,0,0,1,0
125,2022-5-6,63265,31217,3.5,91,1291,0,51,24,9,0,0,0,48,0,24,0,0,10,9,0,0,0,0,1651775400.0,Friday,Tirupati Sri Govindaraja Swamy Temple Brahmotsavam Begins,0,0,0,1,0,0
126,2022-5-7,76324,38710,4.73,97,1324,4,60,29,33,0,0,13,0,0,17,0,12,12,0,0,13,1,1,1651861800.0,Saturday,"Tirupati Sri Govindarajaswamy Pushpa Yagam, Srinivasa Mangapuram Sri KVS Sakshatkara Vaibhavolsavam Ends",0,0,0,1,0,0
127,2022-5-8,75876,32164,4.64,91,1291,17,49,27,11,0,19,0,23,0,0,0,0,15,0,20,0,1,0,1651948200.0,Sunday,Varalakshmi Vratham,1,0,0,0,0,0
128,2022-5-9,69154,29617,4.27,93,1291,4,54,25,20,0,0,5,0,0,0,21,0,13,4,0,5,0,0,1652034600.0,Monday,"Teachers? Day, Tirupati Sri GT Pavitrotsavam Begins",0,0,1,0,1,0
129,2022-5-10,61090,26316,4.52,86,740,5,49,27,0,16,11,11,0,0,0,0,9,12,0,21,11,0,0,1652121000.0,Tuesday,"Sravanam, Vijayadasami, Tirumala Sri TT Brahmotsavam Ends, Tiruchanoor Sri PAT Navarathri Ends",1,1,0,1,0,0
130,2022-5-11,61863,30135,3.72,84,1521,0,51,25,12,19,30,0,0,0,0,0,18,11,0,0,0,0,1,1652207400.0,Wednesday,"Kaisika Dwadasi, Ksheerabdhi Dwadasi",0,1,0,0,0,0
131,2022-5-12,61087,30271,3.39,79,2229,0,48,23,33,0,0,14,15,0,0,0,0,11,15,0,14,0,0,1652293800.0,Thursday,Chakrateertha Mukkoti,0,1,0,0,0,0
132,2022-5-13,62001,32303,4.03,82,962,5,50,27,31,0,0,0,0,0,87,0,13,12,0,47,0,0,1,1652380200.0,Friday,"Hrishikesh, Narayanavanam Kalyana Venkateswara Swamy Temple Begins",0,1,0,1,0,0
133,2022-5-14,81107,43531,3.21,90,2229,14,55,25,38,0,0,0,0,0,20,0,7,14,0,0,0,1,1,1652466600.0,Saturday,"Nrusimha Jayanthi, Tiruchanoor Sri PAT Vasantotsavam Begins",0,0,0,1,1,0
134,2022-5-15,81720,34266,3.19,88,2229,0,55,27,12,0,0,22,0,48,24,16,12,16,0,0,22,1,0,1652553000.0,Sunday,"Sri Koorma Jayanthi, Sri Tarigonda Vengamamba Jayanthi",0,0,0,0,1,0
135,2022-5-16,72567,34718,3.21,86,1878,3,55,28,35,24,0,13,0,25,0,0,7,3,0,0,13,0,-1,1652639400.0,Monday,"Annamacharya Jayanthi, Pumima, Tirupati Sri KT Patra Pushpayagam",0,1,0,1,1,0
136,2022-5-17,75400,32223,4.02,84,2229,0,53,25,9,20,0,5,0,0,0,13,0,9,5,0,5,0,0,1652725800.0,Tuesday,"Tirupati Gangajatara Ends, Tiruchanoor Sri PAT Vasantotsavam Ends",0,0,0,1,0,0
137,2022-5-18,74389,38007,4.35,86,1275,4,53,29,17,0,0,0,0,0,0,16,9,15,0,0,0,0,1,1652812200.0,Wednesday,normal,0,0,0,0,0,1
138,2022-5-19,67625,34584,4.05,90,862,5,54,26,12,88,59,0,0,32,38,0,0,10,0,0,0,0,1,1652898600.0,Thursday,Srinivasa Mangapuram Sri KVS Vasantotsavam Begins,0,0,1,0,0,0
139,2022-5-20,71119,37256,3.91,88,1324,5,61,32,26,0,0,0,43,0,33,0,0,18,12,0,0,0,0,1652985000.0,Friday,normal,0,0,0,0,0,1
140,2022-5-21,83739,46187,4.2,90,862,26,77,52,0,0,0,25,34,0,0,0,39,34,30,0,25,1,0,1653071400.0,Saturday,"Hrishikesh, Narayanavanam Sri Kalyana Venkateswara Swamy Temple Ends, Sravanam, Nagulapuram Sri VNS Pushpayagam, Srinivasa Mangapuram Sri KVS Vasantotsavam Ends",0,1,0,1,0,0
141,2022-5-22,70848,29957,4.65,95,1291,10,64,32,0,0,15,13,0,0,0,0,12,26,0,0,13,1,1,1653157800.0,Sunday,normal,0,0,0,0,0,1
142,2022-5-23,75324,35086,5.03,97,972,13,58,34,17,28,0,0,0,0,47,34,10,18,6,36,0,0,0,1653244200.0,Monday,Karvetinagaram Sri Rukmani Sathyabama Sametha Sri Venugopala Swamy Temple Brahmotsavam Begins,0,0,1,0,0,0
143,2022-5-24,75759,31050,4.41,97,1324,11,60,38,11,24,0,16,0,0,0,15,21,16,15,47,16,0,0,1653330600.0,Tuesday,normal,0,0,0,0,0,1
144,2022-5-25,75759,39208,5.43,88,1324,8,52,34,15,0,0,18,25,0,0,0,18,20,7,27,18,0,1,1653417000.0,Wednesday,Hanuman Jayanthi,0,0,0,0,1,0
145,2022-5-26,72758,40504,4.83,91,862,8,64,38,0,0,44,0,25,0,0,13,13,22,12,27,0,0,0,1653503400.0,Thursday,"Ekadasi, Mahee Jayanthi",0,1,0,0,1,0
146,2022-5-27,73358,41900,4.11,91,862,0,63,32,29,0,0,10,0,0,0,0,0,19,0,0,10,0,0,1653589800.0,Friday,normal,0,0,0,0,0,1
147,2022-5-28,89318,48539,3.76,97,862,8,67,37,36,0,0,0,0,0,0,0,17,24,6,0,0,1,-1,1653676200.0,Saturday,Masa Shivratri,0,1,0,0,0,0
148,2022-5-29,90885,35707,4.18,97,972,9,59,34,32,22,20,0,0,38,0,13,38,23,11,0,0,1,1,1653762600.0,Sunday,"Krittika, Kartari Ends",0,1,0,1,0,0
149,2022-5-30,74823,31159,4.51,97,972,3,63,38,41,59,0,0,62,0,0,34,15,16,27,22,0,0,0,1653849000.0,Monday,"Karvetinagaram Sri VGS Rathotsavam, Amavasya",0,1,0,1,0,0
150,2022-5-31,69848,28716,4.34,97,2689,14,59,34,8,68,18,0,28,0,19,0,28,17,13,0,0,0,-1,1653935400.0,Tuesday,"Rohini, Karvetinagaram Sri Rukmani Sathyabama Sametha Sri Venugopala Swamy Temple Brahmotsavam Ends",0,1,0,1,0,0
151,2022-6-1,71914,37234,4.39,93,962,9,52,29,14,56,0,15,0,0,58,13,17,18,11,0,15,0,0,1654021800.0,Wednesday,normal,0,0,0,0,0,1
152,2022-6-2,66001,38831,4.01,95,1878,7,54,29,40,0,0,0,24,0,22,0,6,9,0,29,0,0,-1,1654108200.0,Thursday,normal,0,0,0,0,0,1
153,2022-6-3,71196,36936,3.45,95,862,8,57,28,28,0,0,0,19,0,0,0,14,13,8,0,0,0,0,1654194600.0,Friday,normal,0,0,0,0,0,1
154,2022-6-4,90165,43362,4.18,91,1291,11,65,32,20,34,0,0,0,37,0,37,0,14,9,0,0,1,1,1654281000.0,Saturday,"Rohini, Vayalpadu Sri PRS Brahmotsavam Begins, Tirupati Sri KRT Rathotsavam",0,1,1,1,0,0
155,2022-6-5,78188,35427,3.94,95,1878,0,64,31,15,29,0,0,0,43,0,0,11,14,0,0,0,1,0,1654367400.0,Sunday,Sri Sankara Jayanthi,0,0,0,0,1,0
156,2022-6-6,76921,39568,4.4,95,1324,3,55,28,16,0,0,0,16,0,0,0,24,10,0,0,0,0,1,1654453800.0,Monday,normal,0,0,0,0,0,1
157,2022-6-7,76425,36053,4.15,91,1291,18,56,27,31,22,0,9,0,0,57,27,8,12,0,0,9,0,0,1654540200.0,Tuesday,normal,0,0,0,0,0,1
158,2022-6-8,75345,36091,4.52,95,1324,4,52,27,36,0,0,31,0,21,0,0,9,14,5,0,31,0,0,1654626600.0,Wednesday,Tangonda Vengamamba Vardanti,0,1,0,0,0,0
159,2022-6-9,70019,36124,3.52,90,1275,6,52,25,12,35,0,16,0,0,0,0,14,16,0,0,16,0,0,1654713000.0,Thursday,Ekadasi,0,1,0,0,0,0
160,2022-6-10,67949,39837,3.7,97,1291,0,61,29,16,0,0,12,0,33,0,43,10,10,7,0,12,0,-1,1654799400.0,Friday,"Tirumala Sri TT Back Savari Utsavam, Ekadasi",0,1,0,1,0,0
161,2022-6-11,87698,48804,3.88,97,1291,0,66,33,38,0,0,0,0,0,90,0,16,19,7,0,0,1,0,1654885800.0,Saturday,normal,0,0,0,0,0,1
162,2022-6-12,93400,39451,3.75,97,1324,16,59,29,18,0,0,0,0,0,57,0,0,17,6,0,0,1,0,1654972200.0,Sunday,Tirupati Sri KT Krittika Deepotsavam,0,0,0,1,0,0
163,2022-6-13,78602,42423,4.32,97,1291,0,53,30,38,0,0,6,0,30,36,0,22,13,0,0,6,0,0,1655058600.0,Monday,Tirupati Sri Govindaraja Swamy Temple Brahmotsavam Ends,0,0,0,1,0,0
164,2022-6-14,79103,37292,4.42,95,1291,0,51,28,19,0,0,0,0,0,26,0,18,17,5,53,0,0,0,1655145000.0,Tuesday,"Tirumala Sri TT Jyestabhishekam Ends. Eruvaka Purnima, Tiruchanoor Sri PAT Float Ends",0,0,0,1,0,0
165,2022-6-15,77326,38742,4.36,91,1324,0,53,31,26,0,0,10,0,0,0,17,20,21,0,0,10,0,1,1655231400.0,Wednesday,normal,0,0,0,0,0,1
166,2022-6-16,73371,39924,4.14,90,1878,25,54,28,18,21,13,10,0,0,26,0,10,15,0,0,10,0,0,1655317800.0,Thursday,normal,0,0,0,0,0,1
167,2022-6-17,76407,39938,4.28,86,1878,0,57,28,0,25,0,0,0,0,0,0,7,15,9,0,0,0,0,1655404200.0,Friday,normal,0,0,0,0,0,1
168,2022-6-18,84982,46679,4.42,86,1878,8,66,32,37,0,0,0,34,0,0,39,22,17,0,0,0,1,0,1655490600.0,Saturday,"Sravanam, Appalayagunta Sri Prasanna Venkateswara Swamy Temple Brahmotsavam Ends",0,1,0,1,0,0
169,2022-6-19,90471,37039,4.13,88,2229,6,55,27,21,0,0,0,0,31,0,0,15,15,0,32,0,1,0,1655577000.0,Sunday,normal,0,0,0,0,0,1
170,2022-6-20,76597,37759,4.47,88,1324,7,58,29,19,0,0,8,68,0,0,0,9,18,6,44,8,0,0,1655663400.0,Monday,Tiruchanoor Sri PAT Sundararaja Swamy Avatarotsavam Begins,0,0,1,0,0,0
171,2022-6-21,74906,36138,4.07,86,2229,6,56,27,37,22,0,18,15,0,34,0,20,19,5,0,18,0,0,1655749800.0,Tuesday,normal,0,0,0,0,0,1
172,2022-6-22,75472,38335,3.87,86,2229,10,55,27,39,44,0,0,0,0,0,0,9,17,6,23,0,0,0,1655836200.0,Wednesday,Tiruchanoor Sri PAT Sundararaja Swamy Avatarotsavam Ends,0,0,0,1,0,0
173,2022-6-23,68873,38952,4.44,84,2229,4,55,27,16,0,27,7,26,0,0,0,8,10,5,0,7,0,0,1655922600.0,Thursday,normal,0,0,0,0,0,1
174,2022-6-24,71589,41240,4.3,88,1291,8,63,32,28,0,0,6,0,0,28,15,13,22,0,0,6,0,0,1656009000.0,Friday,Ekadasi,0,1,0,0,0,0
175,2022-6-25,71069,34741,4.27,90,1291,13,68,36,11,0,0,13,0,0,0,38,7,10,7,0,13,1,0,1656095400.0,Saturday,normal,0,0,0,0,0,1
176,2022-6-26,88613,36153,4.24,93,1291,24,59,30,58,0,0,0,0,0,0,25,23,22,17,0,0,1,1,1656181800.0,Sunday,Krittika,0,1,0,0,0,0
177,2022-6-27,74288,36473,4.46,93,1291,13,64,40,34,33,0,17,0,0,26,0,19,26,33,44,17,0,0,1656268200.0,Monday,"Rohini, Masa Shivratri",0,1,0,0,0,0
178,2022-6-28,77154,30182,4.62,90,1291,12,59,34,0,0,0,0,0,0,0,48,15,18,12,0,0,0,0,1656354600.0,Tuesday,Amavasya,0,1,0,0,0,0
179,2022-6-29,70134,30059,4.26,88,1878,0,54,34,65,56,0,0,34,44,87,17,13,19,19,0,0,0,0,1656441000.0,Wednesday,normal,0,0,0,0,0,1
180,2022-6-30,65898,33686,3.66,91,962,0,57,29,16,0,0,0,33,0,85,12,16,13,15,0,0,0,0,1656527400.0,Thursday,Punarvasu,0,1,0,0,0,0
181,2022-7-1,64628,41613,3.47,95,2229,13,58,31,34,0,27,23,0,41,0,41,24,22,8,0,23,0,0,1656613800.0,Friday,normal,0,0,0,0,0,1
182,2022-7-2,88026,50652,4.34,95,2229,0,66,35,25,24,0,0,0,49,0,0,18,22,6,0,0,1,0,1656700200.0,Saturday,normal,0,0,0,0,0,1
183,2022-7-3,88682,37447,4.09,91,2229,4,59,34,26,43,0,0,19,0,0,0,17,18,0,0,0,1,0,1656786600.0,Sunday,normal,0,0,0,0,0,1
184,2022-7-4,77907,38267,6.18,86,1521,7,61,28,0,0,16,12,0,0,20,19,30,19,15,0,12,0,0,1656873000.0,Monday,Tirupati Sri Kodanda Rama Swamy Temple Brahmotsavam Ends,0,0,0,1,0,0
185,2022-7-5,73439,34490,4.35,88,740,9,59,29,24,0,0,28,0,0,31,0,21,22,0,51,28,0,0,1656959400.0,Tuesday,"Punarvasu, Tirupati Sri KRT Pushpayagam",0,1,0,1,0,0
186,2022-7-6,76418,38629,4.73,81,2339,6,61,37,27,71,0,0,16,0,46,17,8,19,16,0,0,0,1,1657045800.0,Wednesday,normal,0,0,0,0,0,1
187,2022-7-7,75407,35535,4.56,82,1521,19,65,40,28,0,0,14,0,61,0,0,20,27,29,0,14,0,0,1657132200.0,Thursday,normal,0,0,0,0,0,1
188,2022-7-8,73016,37068,4.09,84,1521,7,68,43,0,0,14,0,0,0,30,0,11,23,22,23,0,0,1,1657218600.0,Friday,Tirumala Sri TT Pavitrotsavam begins,0,0,1,0,0,0
189,2022-7-9,87478,48692,4.53,84,1521,4,72,46,18,76,0,11,0,0,24,30,0,30,11,0,11,1,1,1657305000.0,Saturday,Vamana Jayanthi,0,0,0,0,1,0
190,2022-7-10,89013,37698,4.39,84,1521,0,69,34,18,30,16,8,0,30,73,0,8,17,0,31,8,1,0,1657391400.0,Sunday,normal,0,0,0,0,0,1
191,2022-7-11,62141,33880,5.58,86,1521,0,62,32,30,100,0,23,0,0,0,18,11,22,11,0,23,0,0,1657477800.0,Monday,"Narayanavanam Sri KVS Float Ends, Karteeka Jwala Thoranam",0,1,0,1,0,0
192,2022-7-12,74212,25920,5.05,86,1291,8,58,33,25,27,23,0,0,0,18,17,24,25,0,0,0,0,0,1657564200.0,Tuesday,"Tirumala Sri Tr Karteeka Deepotsavam, Krittika, Sri Datta Jayanthi",0,1,0,1,1,0
193,2022-7-13,71289,33210,3.71,88,1291,4,59,28,12,42,0,0,0,0,0,0,12,8,0,0,0,0,0,1657650600.0,Wednesday,"Guru Purnima, Vyasa Purnima",0,1,0,1,0,0
194,2022-7-14,74304,31880,5.45,90,1324,5,54,30,35,0,14,0,0,0,0,32,23,18,10,0,0,0,0,1657737000.0,Thursday,normal,0,0,0,0,0,1
195,2022-7-15,72195,35967,4.24,91,962,0,59,34,37,0,0,0,0,21,0,0,0,11,7,31,0,0,0,1657823400.0,Friday,Sravanam. Appalayagunta Sri PVS Pushpayagam,0,0,0,1,0,0
196,2022-7-16,84885,41211,4.35,90,1275,0,67,30,17,43,0,16,70,0,0,15,10,15,0,0,16,1,0,1657909800.0,Saturday,normal,0,0,0,0,0,1
197,2022-7-17,73387,33965,4.68,90,1291,4,60,32,17,33,0,0,0,0,22,39,18,20,0,0,0,1,0,1657996200.0,Sunday," Anivara Asthanam, Dakshinayanam Begins, Tirumala Sri T.T. Pushpa Pallaki",0,1,0,1,0,0
198,2022-7-18,77273,35893,4.5,88,1275,0,60,29,9,0,0,6,0,0,0,0,9,15,9,0,6,0,0,1658082600.0,Monday,normal,0,0,0,0,0,1
199,2022-7-19,74503,30884,4.42,88,1291,5,60,29,26,21,0,0,0,0,0,0,18,19,0,0,0,0,1,1658169000.0,Tuesday,normal,0,0,0,0,0,1
200,2022-7-20,76821,34732,4.78,90,1275,0,57,29,23,0,0,16,0,30,0,0,10,18,30,46,16,0,1,1658255400.0,Wednesday,normal,0,0,0,0,0,1
201,2022-7-21,71437,31315,4.43,90,862,9,62,30,22,20,0,8,18,0,32,28,13,23,0,0,8,0,0,1658341800.0,Thursday,normal,0,0,0,0,0,1
202,2022-7-22,71395,32533,4.83,88,1291,0,64,27,37,55,0,0,43,0,0,0,10,14,0,0,0,0,-1,1658428200.0,Friday,normal,0,0,0,0,0,1
203,2022-7-23,78479,37521,3.76,90,972,4,70,34,24,27,29,10,0,0,0,0,18,22,13,0,10,1,0,1658514600.0,Saturday,"Ads Krittika, Tirupati Sri KRT Pavitrotsavam Begins",0,1,1,0,0,0
204,2022-7-24,80815,31562,4.82,88,1878,4,63,27,50,0,0,18,0,34,28,0,24,11,0,29,18,1,0,1658601000.0,Sunday,"Ekadasi, Rohini",0,1,0,0,0,0
205,2022-7-25,72873,32641,5.12,82,1275,0,64,25,51,0,0,11,0,0,0,15,12,16,0,0,11,0,0,1658687400.0,Monday,normal,0,0,0,0,0,1
206,2022-7-26,68982,29092,4.6,86,2229,8,60,32,39,0,0,0,78,0,0,0,34,20,8,73,0,0,1,1658773800.0,Tuesday,"Masa Shivratri, Tirupati Sri KRT Pavitrotsavam Ends",0,1,0,1,0,0
207,2022-7-27,73375,31117,4.71,86,862,8,59,29,11,18,0,13,0,0,21,24,17,18,11,21,13,0,1,1658860200.0,Wednesday,Punarvasu,0,1,0,0,0,0
208,2022-7-28,67364,25058,4.21,88,962,6,60,26,49,57,0,0,0,0,100,41,24,12,0,21,0,0,1,1658946600.0,Thursday,Amavasya,0,1,0,0,0,0
209,2022-7-29,58747,28496,3.79,90,1324,13,60,30,36,44,0,0,0,0,0,0,0,13,7,0,0,0,0,1659033000.0,Friday,normal,0,0,0,0,0,1
210,2022-7-30,77541,39533,3.87,91,972,0,62,33,0,43,17,0,0,50,0,0,0,14,10,0,0,1,0,1659119400.0,Saturday,normal,0,0,0,0,0,1
211,2022-7-31,81287,34436,3.83,91,1291,6,60,36,27,0,21,0,0,24,29,0,19,16,0,0,0,1,1,1659205800.0,Sunday,normal,0,0,0,0,0,1
212,2022-8-1,71450,31320,5.0,91,1291,6,63,34,22,48,0,0,0,0,0,0,28,20,0,0,0,0,-1,1659292200.0,Monday,normal,0,0,0,0,0,1
213,2022-8-2,72067,27581,4.3,84,1275,0,64,38,24,0,0,13,0,0,0,0,17,21,7,0,13,0,1,1659378600.0,Tuesday,Ratha Sapthami,0,1,0,0,0,0
214,2022-8-3,69628,32604,4.11,84,962,4,57,28,0,0,0,0,0,0,0,26,16,17,14,21,0,0,0,1659465000.0,Wednesday,normal,0,0,0,0,0,1
215,2022-8-4,62351,31473,4.99,82,1275,6,55,27,27,26,0,0,16,0,0,0,12,19,5,0,0,0,1,1659551400.0,Thursday,normal,0,0,0,0,0,1
216,2022-8-5,65939,32894,3.77,82,1275,7,61,26,16,0,0,11,0,0,0,0,9,13,6,0,11,0,0,1659637800.0,Friday,normal,0,0,0,0,0,1
217,2022-8-6,79525,39545,4.04,82,1291,6,67,32,31,29,27,0,0,0,0,0,0,20,11,0,0,1,0,1659724200.0,Saturday,normal,0,0,0,0,0,1
218,2022-8-7,74830,39405,4.79,84,2339,8,60,28,32,0,21,8,0,0,0,0,0,13,0,29,8,1,0,1659810600.0,Sunday,normal,0,0,0,0,0,1
219,2022-8-8,64425,29476,4.55,86,1275,6,60,33,26,0,0,8,22,0,0,0,0,15,0,0,8,0,0,1659897000.0,Monday,Ekadasi,0,1,0,0,0,0
220,2022-8-9,77277,31272,4.36,86,1291,5,61,29,35,0,13,0,0,0,0,0,18,11,0,0,0,0,0,1659983400.0,Tuesday,"Sravanam, Tirupati Sri GT Pavitrotsavam Ends",0,1,0,1,0,0
221,2022-8-10,74497,36244,5.15,90,1291,10,55,28,12,0,0,0,0,0,0,0,0,15,8,0,0,0,1,1660069800.0,Wednesday,normal,0,0,0,0,0,1
222,2022-8-11,63754,30790,3.63,91,972,4,53,27,28,0,0,0,52,0,0,0,0,16,0,0,0,0,0,1660156200.0,Thursday,"Sri KT Annabhishekam, Rudrapadalu Mukkoti, Purnima, Chandra Grahanam",0,1,0,1,0,0
223,2022-8-12,64079,32852,3.52,91,1324,0,64,30,15,0,17,6,0,0,0,0,7,14,5,0,6,0,0,1660242600.0,Friday," Purnima, Tirupati Sri KT Mukkoti, Rohini",0,1,0,1,0,0
224,2022-8-13,83422,50100,4.27,91,1291,0,68,37,43,0,0,0,25,0,0,0,24,12,0,58,0,1,1,1660329000.0,Saturday,normal,0,0,0,0,0,1
225,2022-8-14,92328,52969,4.36,91,1291,10,61,37,34,0,0,8,0,35,0,0,12,30,0,0,8,1,-1,1660415400.0,Sunday,normal,0,0,0,0,0,1
226,2022-8-15,87692,36832,5.3,90,962,14,55,32,100,0,19,0,19,0,40,0,0,30,0,0,0,0,0,1660501800.0,Monday,Independence Day,0,0,0,0,1,0
227,2022-8-16,72851,34404,4.73,91,2689,4,60,34,10,0,0,0,0,0,0,16,7,22,12,0,0,0,1,1660588200.0,Tuesday,normal,0,0,0,0,0,1
228,2022-8-17,83880,38710,5.86,95,1291,9,59,33,27,24,0,0,0,0,0,0,6,17,15,0,0,0,0,1660674600.0,Wednesday,normal,0,0,0,0,0,1
229,2022-8-18,70674,35930,4.53,91,1291,10,67,44,17,0,0,0,0,39,0,0,32,38,26,44,0,0,0,1660761000.0,Thursday,normal,0,0,0,0,0,1
230,2022-8-19,64438,34361,4.53,91,1291,6,61,32,26,27,0,0,34,0,0,0,12,16,7,100,0,0,0,1660847400.0,Friday,"Gokulastami, Krittika, Sri Krishnashtami",0,1,0,1,0,0
231,2022-8-20,79836,35916,4.56,91,1291,9,70,38,28,0,0,0,0,0,0,0,17,14,0,0,0,1,0,1660933800.0,Saturday,Rohini,0,1,0,0,0,0
232,2022-8-21,81523,37100,4.65,90,2802,0,59,35,18,50,19,0,21,0,0,0,0,16,0,0,0,1,0,1661020200.0,Sunday,normal,0,0,0,0,0,1
233,2022-8-22,72804,39142,4.82,93,962,10,58,29,45,0,0,0,15,0,62,0,9,18,19,0,0,0,1,1661106600.0,Monday,normal,0,0,0,0,0,1
234,2022-8-23,68467,35506,4.67,95,1324,14,57,26,0,0,0,0,0,0,33,0,11,16,17,0,0,0,0,1661193000.0,Tuesday,Ekadasi,0,1,0,0,0,0
235,2022-8-24,74748,39086,4.45,86,1878,10,60,34,0,45,0,0,0,0,0,25,37,25,26,0,0,0,0,1661279400.0,Wednesday,Punarvasu,0,1,0,0,0,0
236,2022-8-25,68128,34021,4.44,88,2229,11,61,29,33,31,0,8,0,0,0,0,5,15,13,46,8,0,0,1661365800.0,Thursday,Masa Shivratri,0,1,0,0,0,0
237,2022-8-26,69012,29195,4.59,90,2229,0,63,32,23,32,0,0,15,0,0,21,6,20,0,0,0,0,0,1661452200.0,Friday,normal,0,0,0,0,0,1
238,2022-8-27,80312,29538,5.14,88,1291,6,62,33,12,0,0,0,0,0,0,18,23,17,19,47,0,1,1,1661538600.0,Saturday,Amavasya,0,1,0,0,0,0
239,2022-8-28,74297,27317,3.96,88,2229,7,54,30,28,29,0,14,0,0,0,31,13,14,35,0,14,1,1,1661625000.0,Sunday,normal,0,0,0,0,0,1
240,2022-8-29,67950,31407,4.74,84,2229,5,54,32,25,0,0,0,0,0,29,26,8,11,9,31,0,0,0,1661711400.0,Monday,Balarama Jayanthi,0,0,0,0,1,0
